year,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Premise,Total Incidents
2016,12/7/16,14:10:00,3B,1900 PENNSYLVANIA AVE,ROBBERY - STREET,O,,123,CENTRAL,Upton,"(39.3054300000, -76.6370100000)",OTHER - OUTSIDE,1
2016,12/7/16,19:18:00,3B,400 E 30TH ST,ROBBERY - STREET,O,,513,NORTHERN,Abell,"(39.3247100000, -76.6107600000)",STREET,1
2016,12/7/16,19:40:00,3B,2200 SAINT PAUL ST,ROBBERY - STREET,O,,514,NORTHERN,Barclay,"(39.3146900000, -76.6151500000)",STREET,1
2016,12/7/16,21:19:00,3P,2400 LIBERTY HEIGHTS AVE,ROBBERY - STREET,I,,731,WESTERN,Mondawmin,"(39.3186800000, -76.6539900000)",SHOPPING MALLS/CNTR,1
2016,12/7/16,21:22:00,3AF,1500 W LOMBARD ST,ROBBERY - STREET,O,FIREARM,933,SOUTHERN,Union Square,"(39.2863900000, -76.6412800000)",STREET,1
2016,12/7/16,21:46:00,3AF,900 E PATAPSCO AVE,ROBBERY - STREET,O,FIREARM,913,SOUTHERN,Brooklyn,"(39.2345700000, -76.5967800000)",STREET,1
2016,12/7/16,23:30:00,3B,1500 RUSSELL ST,ROBBERY - STREET,I,,941,SOUTHERN,Carroll - Camden Industrial Area,"(39.2741500000, -76.6279100000)",CONVENIENCE STORE,1
2016,12/6/16,7:45:00,3AF,3100 MONDAWMIN AVE,ROBBERY - STREET,O,FIREARM,641,NORTHWESTERN,Hanlon-Longwood,"(39.3153000000, -76.6698600000)",STREET,1
2016,12/6/16,10:00:00,3CF,0 W NORTH AVE,ROBBERY - COMMERCIAL,I,FIREARM,141,CENTRAL,Charles North,"(39.3111900000, -76.6170400000)",OTHER - INSIDE,1
2016,12/6/16,12:27:00,3AF,6800 REISTERSTOWN RD,ROBBERY - STREET,O,FIREARM,631,NORTHWESTERN,Reisterstown Station,"(39.3599600000, -76.7074900000)",PARKING LOT-OUTSIDE,1
2016,12/6/16,12:35:00,3CO,5200 REISTERSTOWN RD,ROBBERY - COMMERCIAL,I,OTHER,623,NORTHWESTERN,Woodmere,"(39.3434400000, -76.6842800000)",OTHER - INSIDE,1
2016,12/6/16,17:25:00,3CF,,ROBBERY - COMMERCIAL,I,FIREARM,536,NORTHERN,,,DRUG STORE / MED  BLDG,1
