year,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Premise,Total Incidents
2015,7/10/15,12:48:00,3CO,1300 E NORTH AVE,ROBBERY - COMMERCIAL,I,OTHER,342,EASTERN,East Baltimore Midway,"(39.3119200000, -76.6002400000)",OTHER - INSIDE,1
2015,7/10/15,18:00:00,3D,2100 E MONUMENT ST,ROBBERY - COMMERCIAL,I,,321,EASTERN,CARE,"(39.2986200000, -76.5871100000)",OTHER - INSIDE,1
2015,7/10/15,21:30:00,3K,800 BETHUNE RD,ROBBERY - RESIDENCE,I,,922,SOUTHERN,Cherry Hill,"(39.2455800000, -76.6229700000)",ROW/TOWNHOUSE-OCC,1
2015,7/10/15,21:45:00,3AF,1100 WHITELOCK ST,ROBBERY - STREET,O,FIREARM,133,CENTRAL,Reservoir Hill,"(39.3125400000, -76.6378600000)",STREET,1
2015,7/10/15,21:45:00,3AF,1100 WHITELOCK ST,ROBBERY - STREET,O,FIREARM,133,CENTRAL,Reservoir Hill,"(39.3125400000, -76.6378600000)",STREET,1
2015,7/10/15,21:45:00,3AF,1100 WHITELOCK ST,ROBBERY - STREET,O,FIREARM,133,CENTRAL,Reservoir Hill,"(39.3125400000, -76.6378600000)",STREET,1
2015,7/10/15,23:39:00,3AF,3900 CLARKS LN,ROBBERY - STREET,O,FIREARM,632,NORTHWESTERN,Glen,"(39.3592900000, -76.7036900000)",STREET,1
2015,7/10/15,23:39:00,3AF,3900 CLARKS LN,ROBBERY - STREET,O,FIREARM,632,NORTHWESTERN,Glen,"(39.3592900000, -76.7036900000)",ALLEY,1
2015,7/10/15,23:39:00,3AF,3900 CLARKS LN,ROBBERY - STREET,O,FIREARM,632,NORTHWESTERN,Glen,"(39.3592900000, -76.7036900000)",ALLEY,1
2015,7/9/15,1:30:00,3B,1900 EASTERN AVE,ROBBERY - STREET,O,,212,SOUTHEASTERN,Upper Fells Point,"(39.2857500000, -76.5900000000)",STREET,1
2015,7/9/15,1:42:00,3AK,1900 S CHARLES ST,ROBBERY - STREET,I,KNIFE,943,SOUTHERN,South Baltimore,"(39.2681500000, -76.6138400000)",CONSTRUCTION SITE,1
2015,7/9/15,1:50:00,3BJ,3900 CHESTERFIELD AVE,ROBBERY - CARJACKING,O,,432,NORTHEASTERN,Belair-Edison,"(39.3171700000, -76.5629700000)",STREET,1
2015,7/9/15,2:55:00,3GF,1100 W 41ST ST,ROBBERY - COMMERCIAL,I,FIREARM,531,NORTHERN,Hampden,"(39.3378600000, -76.6364800000)",CONVENIENCE STORE,1
2015,7/9/15,4:00:00,3B,1000 MCCULLOH ST,ROBBERY - STREET,O,,123,CENTRAL,Upton,"(39.3001800000, -76.6248900000)",STREET,1
2015,7/9/15,4:56:00,3AF,1800 ALICEANNA ST,ROBBERY - STREET,O,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2836500000, -76.5911500000)",STREET,1
2015,7/9/15,4:56:00,3AF,1800 ALICEANNA ST,ROBBERY - STREET,O,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2836500000, -76.5911500000)",STREET,1
2015,7/9/15,0:10:00,3B,200 S BEECHFIELD AVE,ROBBERY - STREET,O,,822,SOUTHWESTERN,Tremont,"(39.2821500000, -76.6930300000)",OTHER - OUTSIDE,1
2015,7/9/15,0:23:00,3GF,0 N CALVERT ST,ROBBERY - COMMERCIAL,I,FIREARM,111,CENTRAL,Downtown,"(39.2901100000, -76.6123600000)",CONVENIENCE STORE,1
2015,7/9/15,17:00:00,3AF,4300 RIDGEWOOD AVE,ROBBERY - STREET,O,FIREARM,621,NORTHWESTERN,West Arlington,"(39.3366600000, -76.6918700000)",STREET,1
2015,7/9/15,17:30:00,3JO,0 N CHESTER ST,ROBBERY - RESIDENCE,I,OTHER,212,SOUTHEASTERN,Butcher's Hill,"(39.2924700000, -76.5874300000)",ROW/TOWNHOUSE-OCC,1
2015,7/9/15,20:20:00,3B,1400 N CALVERT ST,ROBBERY - STREET,O,,141,CENTRAL,Mid-Town Belvedere,"(39.3056900000, -76.6134700000)",STREET,1
2015,7/9/15,20:30:00,3AF,500 E 25TH ST,ROBBERY - STREET,I,FIREARM,342,NORTHERN,East Baltimore Midway,"(39.3181300000, -76.6084500000)",RESTAURANT,1
2015,7/9/15,20:43:00,3CO,5700 EASTERN AVE,ROBBERY - COMMERCIAL,I,OTHER,241,SOUTHEASTERN,Hopkins Bayview,"(39.2874500000, -76.5475700000)",RETAIL/SMALL BUSINESS,1
2015,7/9/15,22:00:00,3B,200 S WOLFE ST,ROBBERY - STREET,O,,212,SOUTHEASTERN,Upper Fells Point,"(39.2891300000, -76.5903300000)",STREET,1
2015,7/9/15,22:15:00,3B,1900 EUTAW PL,ROBBERY - STREET,O,,132,CENTRAL,Madison Park,"(39.3086000000, -76.6321300000)",STREET,1
2015,7/9/15,22:20:00,3AO,2300 TIOGA PKWY,ROBBERY - STREET,O,OTHER,611,NORTHWESTERN,Liberty Square,"(39.3197700000, -76.6543900000)",STREET,1
2015,7/9/15,22:30:00,3AF,1100 N CENTRAL AVE,ROBBERY - STREET,O,FIREARM,313,EASTERN,Johnston Square,"(39.3034900000, -76.6003900000)",STREET,1
2015,7/9/15,22:39:00,3CF,6600 BELAIR RD,ROBBERY - COMMERCIAL,I,FIREARM,445,NORTHEASTERN,Cedmont,"(39.3548400000, -76.5305500000)",FAST FOOD,1
2015,7/9/15,22:44:00,3AO,200 MCMECHEN ST,ROBBERY - STREET,O,OTHER,132,CENTRAL,Bolton Hill,"(39.3084600000, -76.6260000000)",STREET,1
2015,7/9/15,23:00:00,3AF,2900 N CHARLES ST,ROBBERY - STREET,O,FIREARM,511,NORTHERN,Johns Hopkins Homewood,"(39.3240600000, -76.6176100000)",PARK,1
2015,7/9/15,23:00:00,3AF,3700 STRATHMORE AVE,ROBBERY - STREET,O,FIREARM,632,NORTHWESTERN,Glen,"(39.3580300000, -76.6946800000)",STREET,1
2015,7/8/15,0:16:00,3AO,3400 MOUNT PLEASANT AVE,ROBBERY - STREET,O,OTHER,223,SOUTHEASTERN,Baltimore Highlands,"(39.2908300000, -76.5685500000)",STREET,1
2015,7/8/15,0:42:00,3AF,4900 GOODNOW RD,ROBBERY - STREET,O,FIREARM,443,NORTHEASTERN,Frankford,"(39.3267900000, -76.5483900000)",STREET,1
2015,7/8/15,1:25:00,3AF,2600 JEFFERSON ST,ROBBERY - STREET,O,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2968500000, -76.5799700000)",STREET,1
2015,7/8/15,2:00:00,3K,200 W 29TH ST,ROBBERY - RESIDENCE,I,,511,NORTHERN,Remington,"(39.3227000000, -76.6211000000)",ROW/TOWNHOUSE-OCC,1
2015,7/8/15,3:35:00,3B,1900 EUTAW PL,ROBBERY - STREET,O,,132,CENTRAL,Madison Park,"(39.3087200000, -76.6322600000)",STREET,1
2015,7/8/15,3:45:00,3AJF,1300 W PRATT ST,ROBBERY - CARJACKING,O,FIREARM,933,SOUTHERN,Union Square,"(39.2856000000, -76.6380800000)",STREET,1
2015,7/8/15,4:25:00,3B,1600 GOUGH ST,ROBBERY - STREET,O,,213,SOUTHEASTERN,Fells Point,"(39.2876000000, -76.5945700000)",STREET,1
2015,7/8/15,7:10:00,3B,1500 PENNSYLVANIA AVE,ROBBERY - STREET,O,,123,CENTRAL,Upton,"(39.3027800000, -76.6337500000)",STREET,1
2015,7/8/15,14:20:00,3M,6500 EASTERN AVE,ROBBERY - COMMERCIAL,I,,424,NORTHEASTERN,Westfield,"(39.3590200000, -76.5462600000)",BANK/FINANCIAL INST,1
2015,7/8/15,14:30:00,3AF,3800 GARRISON BLVD,ROBBERY - STREET,I,FIREARM,621,NORTHWESTERN,Dorchester,"(39.3315100000, -76.6826400000)",BUS/RAILROAD STATION,1
2015,7/8/15,15:05:00,3NF,3800 GARRISON BLVD,ROBBERY - STREET,I,FIREARM,621,NORTHWESTERN,Dorchester,"(39.3315100000, -76.6826400000)",SCHOOL,1
2015,7/8/15,17:00:00,3B,2600 MADISON AVE,ROBBERY - STREET,O,,133,CENTRAL,Reservoir Hill,"(39.3149800000, -76.6401100000)",STREET,1
2015,7/8/15,18:08:00,3AF,6600 PARK HEIGHTS AVE,ROBBERY - STREET,O,FIREARM,632,NORTHWESTERN,Glen,"(39.3617500000, -76.6990900000)",STREET,1
2015,7/8/15,19:00:00,3AF,5100 NORTHWOOD DR,ROBBERY - STREET,O,FIREARM,413,NORTHEASTERN,New Northwood,"(39.3516700000, -76.5965800000)",STREET,1
2015,7/8/15,21:15:00,3K,1200 BEAUMONT AVE,ROBBERY - RESIDENCE,I,,413,NORTHEASTERN,New Northwood,"(39.3507700000, -76.5981900000)",ROW/TOWNHOUSE-OCC,1
2015,7/8/15,21:30:00,3AF,4800 LOCHRAVEN BLVD,ROBBERY - STREET,O,FIREARM,413,NORTHEASTERN,New Northwood,"(39.3485500000, -76.5918800000)",STREET,1
2015,7/8/15,21:30:00,3AF,4800 LOCHRAVEN BLVD,ROBBERY - STREET,O,FIREARM,413,NORTHEASTERN,New Northwood,"(39.3485500000, -76.5918800000)",STREET,1
2015,7/8/15,23:00:00,3AJF,4000 HILTON RD,ROBBERY - CARJACKING,O,FIREARM,643,NORTHWESTERN,East Arlington,"(39.3324000000, -76.6670500000)",STREET,1
2015,7/7/15,22:14:00,3AO,600 PARK AVE,ROBBERY - STREET,O,OTHER,142,CENTRAL,Mount Vernon,"(39.2964500000, -76.6182900000)",STREET,1
2015,7/7/15,22:20:00,3AK,2000 SAINT PAUL ST,ROBBERY - STREET,O,KNIFE,514,NORTHERN,Barclay,"(39.3130400000, -76.6150400000)",STREET,1
2015,7/7/15,0:05:00,3AF,1000 N COLLINGTON AVE,ROBBERY - STREET,O,FIREARM,322,EASTERN,Middle East,"(39.3027200000, -76.5869500000)",STREET,1
2015,7/7/15,0:11:00,3AF,400 LIGHT ST,ROBBERY - STREET,O,FIREARM,941,SOUTHERN,Otterbein,"(39.2840600000, -76.6133300000)",INNER HARBOR-W-LIGHT,1
2015,7/7/15,4:00:00,3AF,2500 PENNSYLVANIA AVE,ROBBERY - STREET,O,FIREARM,733,WESTERN,Penn North,"(39.3102200000, -76.6427500000)",STREET,1
2015,7/7/15,6:30:00,3B,1700 N BRUCE ST,ROBBERY - STREET,O,,742,WESTERN,Sandtown-Winchester,"(39.3083000000, -76.6456400000)",STREET,1
2015,7/7/15,7:00:00,3AJF,400 FONTHILL AVE,ROBBERY - CARJACKING,O,FIREARM,832,SOUTHWESTERN,Gwynns Falls,"(39.2787100000, -76.6634900000)",STREET,1
2015,7/7/15,8:55:00,3JF,100 N LINWOOD AVE,ROBBERY - RESIDENCE,I,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2939500000, -76.5762600000)",ROW/TOWNHOUSE-OCC,1
2015,7/7/15,8:55:00,3JF,100 N LINWOOD AVE,ROBBERY - RESIDENCE,I,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2939500000, -76.5762600000)",ROW/TOWNHOUSE-OCC,1
2015,7/7/15,12:00:00,3CF,900 WASHBURN AVE,ROBBERY - COMMERCIAL,O,FIREARM,913,SOUTHERN,Brooklyn,"(39.2327000000, -76.5980300000)",STREET,1
2015,7/7/15,13:00:00,3AF,500 ORCHARD ST,ROBBERY - STREET,O,FIREARM,143,CENTRAL,Seton Hill,"(39.2974100000, -76.6239400000)",STREET,1
2015,7/7/15,13:20:00,3B,1400 BANK ST,ROBBERY - STREET,O,,211,SOUTHEASTERN,Perkins Homes,"(39.2864600000, -76.5975700000)",STREET,1
2015,7/7/15,16:22:00,3AK,3200 HOLLINS FERRY RD,ROBBERY - STREET,O,KNIFE,923,SOUTHERN,Lakeland,"(39.2512600000, -76.6469900000)",PARKING LOT-OUTSIDE,1
2015,7/7/15,17:20:00,3AF,2100 N CHARLES ST,ROBBERY - STREET,O,FIREARM,514,NORTHERN,Charles North,"(39.3133800000, -76.6167400000)",STREET,1
2015,7/7/15,18:20:00,3AK,5800 YORK RD,ROBBERY - STREET,O,KNIFE,523,NORTHERN,Rosebank,"(39.3607600000, -76.6099800000)",PARKING LOT-OUTSIDE,1
2015,7/7/15,20:30:00,3AF,2200 W Cold Spring Ln,ROBBERY - STREET,O,FIREARM,533,NORTHERN,Coldspring,"(39.3436200000, -76.6523000000)",PARKING LOT-OUTSIDE,1
2015,7/7/15,21:43:00,3AK,3400 CLIFTON AVE,ROBBERY - STREET,O,KNIFE,812,SOUTHWESTERN,Mount Holly,"(39.3110000000, -76.6742900000)",STREET,1
2015,7/7/15,21:43:00,3B,300 N HOWARD ST,ROBBERY - STREET,O,,111,CENTRAL,Downtown,"(39.2930500000, -76.6197100000)",STREET,1
2015,7/7/15,21:57:00,3CF,5400 BELAIR RD,ROBBERY - COMMERCIAL,I,FIREARM,444,NORTHEASTERN,Frankford,"(39.3382000000, -76.5514700000)",LIQUOR STORE,1
2015,7/7/15,23:43:00,3AF,300 E 24TH ST,ROBBERY - STREET,O,FIREARM,341,EASTERN,Barclay,"(39.3165500000, -76.6119800000)",STREET,1
2015,7/6/15,21:20:00,3CO,300 N EUTAW ST,ROBBERY - COMMERCIAL,I,OTHER,111,CENTRAL,Downtown,"(39.2929800000, -76.6211900000)",GROCERY/CONFECTION,1
2015,7/6/15,22:46:00,3D,400 W SARATOGA ST,ROBBERY - COMMERCIAL,I,,111,CENTRAL,Downtown,"(39.2927900000, -76.6212400000)",RETAIL/SMALL BUSINESS,1
2015,7/6/15,0:08:00,3B,600 S WOLFE ST,ROBBERY - STREET,O,,213,SOUTHEASTERN,Fells Point,"(39.2844100000, -76.5900400000)",STREET,1
2015,7/6/15,0:33:00,3B,100 E BIDDLE ST,ROBBERY - STREET,O,,141,CENTRAL,Mid-Town Belvedere,"(39.3035200000, -76.6143600000)",STREET,1
2015,7/6/15,0:40:00,3AJK,5600 THE ALEMEDA,ROBBERY - CARJACKING,I,KNIFE,522,NORTHERN,Glen Oaks,"(39.3573200000, -76.5954300000)",SHOPPING MALLS/CNTR,1
2015,7/6/15,1:20:00,3AF,1300 EUTAW PL,ROBBERY - STREET,O,FIREARM,132,CENTRAL,Madison Park,"(39.3039500000, -76.6264100000)",STREET,1
2015,7/6/15,4:14:00,3CK,6200 BELAIR RD,ROBBERY - COMMERCIAL,I,KNIFE,425,NORTHEASTERN,Glenham-Belhar,"(39.3507900000, -76.5352400000)",CONVENIENCE STORE,1
2015,7/6/15,4:14:00,3CK,6200 BELAIR RD,ROBBERY - COMMERCIAL,I,KNIFE,425,NORTHEASTERN,Glenham-Belhar,"(39.3507900000, -76.5352400000)",CONVENIENCE STORE,1
2015,7/6/15,4:32:00,3AF,400 ORCHARD ST,ROBBERY - STREET,O,FIREARM,143,CENTRAL,Seton Hill,"(39.2981300000, -76.6229800000)",STREET,1
2015,7/6/15,5:30:00,3AF,200 LAURENS ST,ROBBERY - STREET,O,FIREARM,132,CENTRAL,Bolton Hill,"(39.3099000000, -76.6280900000)",STREET,1
2015,7/6/15,7:40:00,3B,800 NEWINGTON AVE,ROBBERY - STREET,,,133,CENTRAL,Reservoir Hill,"(39.3136000000, -76.6321300000)",,1
2015,7/6/15,9:52:00,3D,1600 W NORTH AVE,ROBBERY - COMMERCIAL,I,,733,WESTERN,Penn North,"(39.3100500000, -76.6434000000)",DRUG STORE / MED  BLDG,1
2015,7/6/15,13:30:00,3AO,5600 WINNER AVE,ROBBERY - STREET,O,OTHER,632,NORTHWESTERN,Glen,"(39.3549500000, -76.6796700000)",STREET,1
2015,7/6/15,15:30:00,3B,4500 YORK RD,ROBBERY - STREET,I,,542,NORTHERN,Guilford,"(39.3440800000, -76.6096100000)",BUS/RAILROAD STATION,1
2015,7/6/15,15:34:00,3AJF,1600 EDISON HWY,ROBBERY - CARJACKING,O,FIREARM,332,EASTERN,Berea,"(39.3098000000, -76.5730900000)",PARKING LOT-OUTSIDE,1
2015,7/6/15,23:01:00,3B,1600 E PRATT ST,ROBBERY - STREET,O,,212,SOUTHEASTERN,Washington Hill,"(39.2892400000, -76.5946000000)",STREET,1
2015,7/6/15,23:06:00,3JF,1400 AISQUITH ST,ROBBERY - RESIDENCE,I,FIREARM,343,EASTERN,Oliver,"(39.3063500000, -76.6023400000)",ROW/TOWNHOUSE-OCC,1
2015,7/6/15,23:20:00,3B,200 W LAFAYETTE AVE,ROBBERY - STREET,O,,132,CENTRAL,Bolton Hill,"(39.3068400000, -76.6241200000)",STREET,1
2015,7/6/15,23:24:00,3AF,1200 JENKINS AL,ROBBERY - STREET,O,FIREARM,,CENTRAL,Bolton Hill,"(39.3051700000, -76.6229500000)",STREET,1
2015,7/5/15,10:45:00,3B,3000 BELAIR RD,ROBBERY - STREET,O,,431,NORTHEASTERN,Clifton Park,"(39.3197900000, -76.5758300000)",STREET,1
2015,7/5/15,12:16:00,3AF,4900 REISTERSTOWN RD,ROBBERY - STREET,O,FIREARM,613,NORTHWESTERN,Lucille Park,"(39.3422100000, -76.6781700000)",STREET,1
2015,7/5/15,12:30:00,3AK,3600 W FRANKLIN ST,ROBBERY - STREET,O,KNIFE,843,SOUTHWESTERN,Allendale,"(39.2926500000, -76.6778900000)",ALLEY,1
2015,7/5/15,0:30:00,3AK,200 S BROADWAY,ROBBERY - STREET,O,KNIFE,213,SOUTHEASTERN,Fells Point,"(39.2890100000, -76.5936500000)",STREET,1
2015,7/5/15,1:10:00,3AF,1600 E EAGER ST,ROBBERY - STREET,O,FIREARM,313,EASTERN,Gay Street,"(39.3018300000, -76.5962300000)",STREET,1
2015,7/5/15,1:21:00,3AK,600 N WASHINGTON ST,ROBBERY - STREET,O,KNIFE,321,EASTERN,Dunbar-Broadway,"(39.2978200000, -76.5895800000)",STREET,1
2015,7/5/15,1:30:00,3AJF,1600 EDISON HWY,ROBBERY - CARJACKING,O,FIREARM,332,EASTERN,Berea,"(39.3098000000, -76.5730900000)",STREET,1
2015,7/5/15,1:31:00,3AJF,500 N Robinson,ROBBERY - CARJACKING,O,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2971900000, -76.5730200000)",STREET,1
2015,7/5/15,14:30:00,3AF,3900 GARRISON BLVD,ROBBERY - STREET,O,FIREARM,621,NORTHWESTERN,Dorchester,"(39.3334500000, -76.6831800000)",STREET,1
2015,7/5/15,17:00:00,3CF,4600 EASTERN AVE,ROBBERY - COMMERCIAL,I,FIREARM,242,SOUTHEASTERN,Greektown,"(39.2870300000, -76.5571700000)",RETAIL/SMALL BUSINESS,1
2015,7/5/15,21:45:00,3AF,2800 HOLLINS FERRY RD,ROBBERY - STREET,O,FIREARM,923,SOUTHERN,Lakeland,"(39.2574000000, -76.6447900000)",STREET,1
2015,7/5/15,21:48:00,3B,2800 W COLD SPRING LN,ROBBERY - STREET,O,,613,NORTHWESTERN,Towanda-Grantley,"(39.3386400000, -76.6686900000)",STREET,1
2015,7/5/15,21:50:00,3AF,2200 BELAIR RD,ROBBERY - STREET,O,FIREARM,431,NORTHEASTERN,Clifton Park,"(39.3174300000, -76.5785500000)",STREET,1
2015,7/5/15,23:15:00,3AF,3700 8TH ST,ROBBERY - STREET,O,FIREARM,913,SOUTHERN,Brooklyn,"(39.2337100000, -76.6000600000)",STREET,1
2015,7/5/15,23:45:00,3AJF,2800 HARFORD RD,ROBBERY - CARJACKING,O,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3216000000, -76.5904000000)",PARKING LOT-OUTSIDE,1
2015,7/4/15,0:15:00,3AF,700 TYSON ST,ROBBERY - STREET,O,FIREARM,142,CENTRAL,Mount Vernon,"(39.2979400000, -76.6192400000)",STREET,1
2015,7/4/15,2:00:00,3AO,3700 POTEE ST,ROBBERY - STREET,O,OTHER,913,SOUTHERN,Brooklyn,"(39.2372700000, -76.6116600000)",PARKING LOT-OUTSIDE,1
2015,7/4/15,2:13:00,3B,800 LOVEGROVE ST,ROBBERY - STREET,O,,142,CENTRAL,Mount Vernon,"(39.2987000000, -76.6149700000)",STREET,1
2015,7/4/15,11:00:00,3B,AV & S FULTON AV,ROBBERY - STREET,O,,935,SOUTHERN,Carrollton Ridge,"(39.2827000000, -76.6448800000)",STREET,1
2015,7/4/15,13:00:00,3B,5200 SINCLAIR LN,ROBBERY - STREET,O,,443,NORTHEASTERN,Frankford,"(39.3223600000, -76.5461100000)",STREET,1
2015,7/4/15,13:55:00,3AJF,3800 RIDGEFIELD RD,ROBBERY - CARJACKING,O,FIREARM,412,NORTHEASTERN,Ednor Gardens-Lakeside,"(39.3339000000, -76.5942600000)",STREET,1
2015,7/4/15,17:40:00,3AF,2600 REISTERSTOWN,ROBBERY - STREET,I,FIREARM,731,WESTERN,Mondawmin,"(39.3175000000, -76.6516200000)",SHOPPING MALLS/CNTR,1
2015,7/4/15,18:30:00,3B,1800 PENROSE AVE,ROBBERY - STREET,O,,711,WESTERN,Franklin Square,"(39.2913500000, -76.6459400000)",STREET,1
2015,7/4/15,21:22:00,3GF,5200 HARFORD RD,ROBBERY - COMMERCIAL,I,FIREARM,421,NORTHEASTERN,Lauraville,"(39.3497000000, -76.5637100000)",GROCERY/CONFECTION,1
2015,7/4/15,21:30:00,3K,700 E 22ND ST,ROBBERY - RESIDENCE,I,,342,EASTERN,East Baltimore Midway,"(39.3145700000, -76.6076500000)",ROW/TOWNHOUSE-OCC,1
2015,7/4/15,21:35:00,3CK,1600 CARSWELL AVE,ROBBERY - COMMERCIAL,O,KNIFE,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3222500000, -76.5948100000)",STREET,1
2015,7/4/15,23:25:00,3AF,2800 HUNTINGDON AVE,ROBBERY - STREET,O,FIREARM,511,NORTHERN,Remington,"(39.3208600000, -76.6228300000)",STREET,1
2015,7/3/15,0:00:00,3AF,700 W NORTH AVE,ROBBERY - STREET,O,FIREARM,133,CENTRAL,Reservoir Hill,"(39.3107400000, -76.6286600000)",STREET,1
2015,7/3/15,0:10:00,3AF,1300 GLYNDON AVE,ROBBERY - STREET,O,FIREARM,932,SOUTHERN,Washington Village/Pigtown,"(39.2812400000, -76.6374400000)",STREET,1
2015,7/3/15,0:39:00,3AF,2300 AIKEN ST,ROBBERY - STREET,O,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3165600000, -76.5978000000)",STREET,1
2015,7/3/15,10:30:00,3AF,300 N GAY ST,ROBBERY - STREET,O,FIREARM,312,EASTERN,Penn-Fallsway,"(39.2932000000, -76.6081700000)",STREET,1
2015,7/3/15,10:35:00,3CF,300 PARK AVE,ROBBERY - COMMERCIAL,I,FIREARM,111,CENTRAL,Downtown,"(39.2934200000, -76.6181900000)",BARBER/BEAUTY SHOP,1
2015,7/3/15,10:35:00,3CF,300 PARK AVE,ROBBERY - COMMERCIAL,I,FIREARM,111,CENTRAL,Downtown,"(39.2934200000, -76.6181900000)",BARBER/BEAUTY SHOP,1
2015,7/3/15,10:35:00,3CF,300 PARK AVE,ROBBERY - COMMERCIAL,I,FIREARM,111,CENTRAL,Downtown,"(39.2934200000, -76.6181900000)",BARBER/BEAUTY SHOP,1
2015,7/3/15,10:35:00,3CF,300 PARK AVE,ROBBERY - COMMERCIAL,I,FIREARM,111,CENTRAL,Downtown,"(39.2934200000, -76.6181900000)",BARBER/BEAUTY SHOP,1
2015,7/3/15,10:35:00,3CF,300 PARK AVE,ROBBERY - COMMERCIAL,I,FIREARM,111,CENTRAL,Downtown,"(39.2934200000, -76.6181900000)",BARBER/BEAUTY SHOP,1
2015,7/3/15,10:35:00,3CF,300 PARK AVE,ROBBERY - COMMERCIAL,I,FIREARM,111,CENTRAL,Downtown,"(39.2934200000, -76.6181900000)",BARBER/BEAUTY SHOP,1
2015,7/3/15,16:30:00,3B,2500 WILKENS AVE,ROBBERY - STREET,O,,841,SOUTHWESTERN,Millhill,"(39.2794800000, -76.6546300000)",STREET,1
2015,7/3/15,19:45:00,3K,100 S CALHOUN ST,ROBBERY - RESIDENCE,I,,933,SOUTHERN,Union Square,"(39.2858700000, -76.6394400000)",ROW/TOWNHOUSE-OCC,1
2015,7/3/15,20:14:00,3B,100 N CHESTER ST,ROBBERY - STREET,O,,212,SOUTHEASTERN,Butcher's Hill,"(39.2934700000, -76.5875600000)",STREET,1
2015,7/3/15,21:31:00,3AF,25TH ST & N CALVERT ST,ROBBERY - STREET,O,FIREARM,514,NORTHERN,Barclay,"(39.3179500000, -76.6142300000)",STREET,1
2015,7/3/15,22:20:00,3AF,2900 N CHARLES ST,ROBBERY - STREET,O,FIREARM,511,NORTHERN,Johns Hopkins Homewood,"(39.3240600000, -76.6176100000)",STREET,1
2015,7/3/15,22:20:00,3AF,2900 N CHARLES ST,ROBBERY - STREET,O,FIREARM,511,NORTHERN,Johns Hopkins Homewood,"(39.3240600000, -76.6176100000)",STREET,1
2015,7/3/15,22:40:00,3CF,2000 FLEET ST,ROBBERY - COMMERCIAL,I,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2848300000, -76.5874100000)",CONVENIENCE STORE,1
2015,7/3/15,22:50:00,3B,3600 W FRANKLIN ST,ROBBERY - STREET,O,,843,SOUTHWESTERN,Allendale,"(39.2926500000, -76.6778900000)",ALLEY,1
2015,7/3/15,22:50:00,3CF,3900 BROOKLYN AVE,ROBBERY - COMMERCIAL,O,FIREARM,913,SOUTHERN,Brooklyn,"(39.2324100000, -76.6024000000)",STREET,1
2015,7/3/15,23:08:00,3CF,3300 E FAYETTE ST,ROBBERY - COMMERCIAL,I,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2948100000, -76.5708100000)",CONVENIENCE STORE,1
2015,7/3/15,23:20:00,3AJF,2300 Biddle St,ROBBERY - CARJACKING,O,FIREARM,331,EASTERN,Broadway East,"(39.3046900000, -76.5850400000)",STREET,1
2015,7/2/15,18:54:00,3CF,600 BAKER ST,ROBBERY - COMMERCIAL,I,FIREARM,742,WESTERN,Sandtown-Winchester,"(39.3080600000, -76.6406200000)",BARBER/BEAUTY SHOP,1
2015,7/2/15,18:54:00,3CF,2200 PENNSYLVANIA AVE,ROBBERY - COMMERCIAL,I,FIREARM,742,WESTERN,Sandtown-Winchester,"(39.3079700000, -76.6400500000)",BARBER/BEAUTY SHOP,1
2015,7/2/15,18:54:00,3CF,2200 PENNSYLVANIA AVE,ROBBERY - COMMERCIAL,I,FIREARM,742,WESTERN,Sandtown-Winchester,"(39.3079700000, -76.6400500000)",BARBER/BEAUTY SHOP,1
2015,7/2/15,20:14:00,3CF,1500 N WASHINGTON ST,ROBBERY - COMMERCIAL,I,FIREARM,331,EASTERN,Broadway East,"(39.3077100000, -76.5901800000)",CONVENIENCE STORE,1
2015,7/2/15,21:17:00,3B,2700 N HOWARD ST,ROBBERY - STREET,O,,512,NORTHERN,Charles Village,"(39.3206500000, -76.6198800000)",ALLEY,1
2015,7/2/15,0:10:00,3CK,4400 MARBLE HALL RD,ROBBERY - COMMERCIAL,O,KNIFE,413,NORTHEASTERN,Original Northwood,"(39.3431400000, -76.5949100000)",PARKING LOT-OUTSIDE,1
2015,7/2/15,0:55:00,3AF,35TH ST & OLD YORK RD,ROBBERY - STREET,O,FIREARM,543,NORTHERN,Waverly,"(39.3308700000, -76.6081300000)",STREET,1
2015,7/2/15,1:30:00,3AO,0 S CALVERT ST,ROBBERY - STREET,O,OTHER,111,CENTRAL,Downtown,"(39.2895300000, -76.6123200000)",STREET,1
2015,7/2/15,2:40:00,3JF,1100 MOUNT HOLLY ST,ROBBERY - RESIDENCE,I,FIREARM,844,SOUTHWESTERN,Edmondson Village,"(39.2995200000, -76.6800200000)",APT/CONDO - OCCUPIED,1
